NODE_ID,LINK_ID,LANES,MAX_SPD,CURVATURE,SLOPE
-,3110050400,1,30,0,0
-,3070040604,2,50,23.046,-0.26
-,3060124500,2,90,-7.895,0.936
-,3120783000,2,90,115.016,-3.078
-,3070041701,3,60,0,0
-,3070010100,2,80,-143.083,-2.157
-,3070040604,2,50,23.046,-0.26
-,3110050400,1,30,0,0
-,3070020302,3,90,,
-,3070040605,2,50,22.427,0.339
-,3070008701,2,90,83.79,2.102
-,3070248700,3,90,1.502,-1.051
-,3070322400,2,50,,
-,3110048500,2,90,21.202,-0.347
-,3050586800,2,90,-89.279,1.99
-,3070593000,1,40,0,0
-,3070013800,3,90,-95.778,3.867
-,3070251200,3,80,0,0
-,3070013700,1,60,0,0
-,3070240301,3,80,-95.999,-0.203
-,3070248700,3,90,1.502,-1.051
-,3070013900,3,90,,
-,3070015000,3,90,117.23,-1.483
-,3070020200,3,90,,
-,3060125000,2,90,1.948,-0.945
-,3070040505,2,50,0,0
-,3070240201,3,80,-129.033,-0.512
-,3070013400,3,90,0,0
-,3070021400,3,90,,
-,3070024500,3,90,-196.047,-1.086
-,3070372000,1,40,,
-,3070570301,3,60,0,0
-,3070013800,3,90,-95.778,3.867
-,3070240201,3,80,-129.033,-0.512
-,3070031902,3,60,0,0
-,3070040604,2,50,23.046,-0.26
-,3070018701,3,90,0,0
-,3070278900,2,50,0,0
-,3070523900,3,60,0,0
-,3070008801,2,90,-83.226,-2.098
-,3070035600,3,60,1.228,0.1
-,3070037903,3,50,0,0
-,3110049700,2,90,-28.628,0.827
-,3070016400,3,90,0,0
-,3070022700,3,90,153.98,0.243
-,3110051400,2,30,,
-,3070040503,2,50,-17.523,0.27
-,3070015000,3,90,117.23,-1.483
-,3070040605,2,50,22.427,0.339
-,3070019400,3,90,49.836,1.222
-,3070015700,3,90,,
-,3070022800,3,90,0,0
-,3070019400,3,90,49.836,1.222
-,3070012900,3,90,0,0
-,3070013800,3,90,-95.778,3.867
-,3070038301,3,50,0,0
-,3060238800,2,80,100.196,1.552
-,3080002800,2,90,,
-,3070013300,3,90,0,0
-,3070019300,3,90,-13.951,-1.318
-,3070032703,3,60,-1.059,0.087
-,3060015601,2,90,-0.714,0.441
-,3070040604,2,50,23.046,-0.26
-,3070040505,2,50,0,0
-,3070019400,3,90,49.836,1.222
-,3120059800,1,40,0,0
-,3070013800,3,90,-95.778,3.867
-,3070034101,3,60,-18.356,0.129
-,3060124100,2,90,47.412,-0.863
-,3070034101,3,60,-18.356,0.129
-,3070261800,3,90,9.476,-1.287
-,3070019300,3,90,-13.951,-1.318
-,3060238700,2,80,-100.221,-1.613
-,3070016400,3,90,0,0
-,3070040604,2,50,23.046,-0.26
-,3070013400,3,90,0,0
-,3070036501,3,60,0,0
-,3120783000,2,90,115.016,-3.078
-,3060015501,2,90,-0.636,-0.445
-,3070040606,2,50,0,0
-,3070035600,3,60,1.228,0.1
-,3070261800,3,90,9.476,-1.287
-,3070040604,2,50,23.046,-0.26
-,3080000400,2,90,0,0
-,3070248700,3,90,1.502,-1.051
-,3070003900,2,90,0,0
-,3070261800,3,90,9.476,-1.287
-,3070044000,2,50,0,0
-,3110049200,2,90,-0.821,0.539
-,3070013200,3,70,,
-,3070043000,2,50,0,0
-,3070017501,3,90,0,0
-,3070040604,2,50,23.046,-0.26
-,3060238800,2,80,100.196,1.552
-,3070008801,2,90,-83.226,-2.098
-,3070024500,3,90,-196.047,-1.086
-,3070046100,2,50,0,0
-,3070008701,2,90,83.79,2.102
-,3070022700,3,90,153.98,0.243
-,3070040604,2,50,23.046,-0.26
-,3070011100,2,80,144.328,2.22
-,3060124200,2,90,0,0
-,3070020401,3,90,,
-,3070032803,3,60,-0.866,0.052
-,3070043602,2,50,0,0
-,3110052200,1,80,0,0
-,3070043000,2,50,0,0
-,3110048300,1,30,0,0
-,3120784300,2,90,-83.246,1.625
-,3070013900,3,90,,
-,3060015602,2,80,,
-,3070013700,1,60,0,0
-,3120783100,2,90,-114.943,3.064
-,3060123700,2,90,32.468,-0.703
-,3070046600,2,50,,
-,3070040606,2,50,0,0
-,3060124100,2,90,47.412,-0.863
-,3060238800,2,80,100.196,1.552
-,3070014900,3,90,-117.303,1.428
-,3060124300,2,90,-62.778,0.787
-,3110047600,2,90,40.324,-3
-,3110047500,2,90,-40.902,3.002
-,3070032002,3,60,0,0
-,3070040604,2,50,23.046,-0.26
-,3070024600,3,90,0,0
-,3120784300,2,90,-83.246,1.625
-,3060120900,2,90,,
-,3060011802,2,70,-4.031,2.949
